ano;mes;selic_meta_pct_aa;selic_efetiva_pct_aa;ipca_mensal_pct;ipca_acum12m_pct;juro_real_ex_post_pct_aa
1999;1;29.00;29.21;0.70;1.65;27.09
1999;3;45.00;44.95;1.10;2.84;40.89
1999;6;22.00;21.87;0.19;3.34;17.92
1999;12;19.00;18.94;0.60;8.94;9.18
2000;6;18.50;18.39;0.23;6.51;11.15
2000;12;15.75;15.76;0.59;5.97;9.24
2001;6;18.25;18.06;0.52;6.94;10.39
2001;12;19.00;19.05;0.65;7.67;10.56
2002;6;18.50;18.36;0.42;7.66;9.94
2002;12;25.00;24.90;2.10;12.53;10.99
2003;6;26.00;26.08;-0.15;16.57;8.16
2003;12;16.50;16.32;0.52;9.30;6.42
2004;6;16.00;15.79;0.71;6.06;9.17
2004;12;17.75;17.74;0.86;7.60;9.43
2005;6;19.75;19.73;-0.02;7.27;11.62
2005;12;18.00;18.00;0.36;5.69;11.65
2006;6;15.25;15.18;-0.21;4.32;10.41
2006;12;13.25;13.19;0.48;3.14;9.75
2007;6;12.00;11.93;0.28;3.69;7.94
2007;12;11.25;11.18;0.74;4.46;6.43
2008;6;12.25;12.17;0.74;6.06;5.76
2008;12;13.75;13.66;0.28;5.90;7.33
2009;6;9.25;9.20;0.36;4.80;4.20
2009;12;8.75;8.65;0.37;4.31;4.16
2010;6;10.25;10.16;0.00;4.84;5.07
2010;12;10.75;10.66;0.63;5.91;4.49
2011;6;12.25;12.17;0.15;6.71;5.12
2011;12;11.00;10.91;0.50;6.50;4.14
2012;6;8.50;8.39;0.08;4.92;3.30
2012;12;7.25;7.14;0.79;5.84;1.23
2013;6;8.00;7.90;0.26;6.70;1.12
2013;12;10.00;9.90;0.92;5.91;3.77
2014;6;11.00;10.90;0.40;6.52;4.11
2014;12;11.75;11.65;0.78;6.41;4.92
2015;6;13.75;13.65;0.79;8.89;4.37
2015;12;14.25;14.15;0.96;10.67;3.15
2016;6;14.25;14.15;0.35;8.84;4.88
2016;12;13.75;13.65;0.30;6.29;6.92
2017;6;10.25;10.14;-0.23;3.00;6.93
2017;12;7.00;6.89;0.44;2.95;3.83
2018;6;6.50;6.39;1.26;4.39;1.92
2018;12;6.50;6.40;0.15;3.75;2.55
2019;6;6.50;6.40;0.01;3.37;2.93
2019;12;4.50;4.40;1.15;4.31;0.09
2020;3;3.75;3.65;0.07;3.30;0.34
2020;6;2.25;2.15;0.26;2.13;0.02
2020;8;2.00;1.90;0.24;2.44;-0.53
2020;12;2.00;1.90;1.35;4.52;-2.51
2021;3;2.75;2.65;0.93;6.10;-3.25
2021;6;4.25;4.15;0.53;8.35;-3.88
2021;9;6.25;6.15;1.16;10.25;-3.72
2021;12;9.25;9.15;0.73;10.06;-0.83
2022;3;11.75;11.65;1.62;11.30;0.31
2022;6;13.25;13.15;0.67;11.89;1.12
2022;8;13.75;13.65;-0.36;8.73;4.53
2022;12;13.75;13.65;0.62;5.79;7.43
2023;6;13.75;13.65;-0.08;3.16;10.17
2023;8;13.25;13.15;0.23;4.61;8.16
2023;12;11.75;11.65;0.56;4.62;6.72
2024;6;10.50;10.40;0.21;4.23;5.92
2024;12;12.25;12.15;0.52;4.83;7.00
